title;is_fake
"""Λέει ότι η πολιτική ομάδα Annies List υποστηρίζει τις αμβλώσεις τρίτου τριμήνου στο demκαι.""";FALSE
"""Πότε άρχισε η παρακμή του άνθρακα; Ξεκίνησε όταν το φυσικό αέριο απογειώθηκε, κάτι που άρχισε να συμβαίνει από τη διοίκηση του (προέδρου Τζορτζ Γ.) Μπους.""";TRUE
"""Η Χίλαρι Κλίντον συμφωνεί με τον Τζον Μακέιν """"ψηφίζοντας να δώσει στον Τζορτζ Μπους το πλεονέκτημα της αμφιβολίας για το Ιράν"""".""";TRUE
"""Η νομοθεσία για τη μεταρρύθμιση της υγειονομικής περίθαλψης είναι πιθανό να προβλέπει δωρεάν επεμβάσεις αλλαγής φύλου.""";FALSE
"""Η οικονομική ανάκαμψη ξεκίνησε στο τέλος της θητείας μου.""";TRUE
"""Οι Chicago Bears είχαν περισσότερους αρχηγούς quarterbacks τα τελευταία 10 χρόνια από το συνολικό αριθμό των μόνιμων καθηγητών (UW) που απολύθηκαν τις τελευταίες δύο δεκαετίες.""";TRUE
"""Ο Jim Dunnam δεν έχει ζήσει στην περιοχή που εκπροσωπεί εδώ και χρόνια.""";FALSE
"""Είμαι ο μόνος άνθρωπος σε αυτή τη σκηνή που εργάστηκε ενεργά μόλις πέρυσι, περνώντας, μαζί με τον Russ Feingold, κάποια από τις πιο σκληρές μεταρρυθμίσεις δεοντολογίας μετά το Watergate.""";TRUE
"""Ωστόσο, χρειάστηκαν 19,5 εκατομμύρια δολάρια σε κονδύλια της Λοταρίας του Όρεγκον για να μπορέσει το λιμάνι του Νιούπορτ να εγκαταστήσει τελικά το νέο Κέντρο Θαλάσσιων Επιχειρήσεων NOAA Marine Operations Center-Pacific.""";TRUE
"""Λέει ότι οι πρωτοβάθμιοι αντίπαλοι του GOP Glenn Grothman και Joe Leibham έδωσαν μια συμβιβαστική ψήφο που κόστισε 788 εκατομμύρια δολάρια σε υψηλότερο κόστος ηλεκτρικής ενέργειας.""";TRUE
"""Για πρώτη φορά στην ιστορία, το μερίδιο του εθνικού περιθωρίου λαϊκής ψήφου είναι μικρότερο από το περιθώριο ψήφου των Λατίνων.""";TRUE
"""Από το 2000, σχεδόν 12 εκατομμύρια Αμερικανοί έχουν ξεφύγει από τη μεσαία τάξη και έχουν πέσει στη φτώχεια.""";TRUE
"""Όταν ο Μιτ Ρόμνεϊ ήταν κυβερνήτης της Μασαχουσέτης, δεν επιβραδύναμε απλώς τον ρυθμό ανάπτυξης της κυβέρνησής μας, αλλά τον μειώσαμε.""";FALSE
"""Η οικονομία έχασε 24 δισεκατομμύρια δολάρια λόγω της διακοπής της λειτουργίας της κυβέρνησης.""";TRUE
"""Το μεγαλύτερο μέρος του (προσιτού νόμου για την περίθαλψη) έχει ήδη κατά κάποιο τρόπο καταργηθεί ή ανασταλεί με άλλο τρόπο.""";FALSE
"""Στις τελευταίες εκλογές του Νοεμβρίου, ...το 63% των Αμερικανών επέλεξε να μην ψηφίσει, ...το 80% των νέων, (και) το 75% των εργαζομένων με χαμηλό εισόδημα επέλεξαν να μην ψηφίσουν.""";TRUE
"""Ο Μακέιν αντιτάχθηκε στην απαίτηση η κυβέρνηση να αγοράζει μοτοσικλέτες αμερικανικής κατασκευής.Και είπε ότι όλες οι διατάξεις για την αγορά αμερικανικών μοτοσικλετών ήταν """"επαίσχυντες"""".""";TRUE
"""Ο Αμερικανός βουλευτής Ron Kind, D-Wis., και οι συνάδελφοί του Δημοκρατικοί έκαναν ένα όργιο δαπανών και τώρα η πιστωτική τους κάρτα έχει εξαντληθεί.""";FALSE
"""Τα τέλη ύδρευσης στη Μανίλα των Φιλιππίνων αυξήθηκαν έως και 845 % όταν μια θυγατρική της Παγκόσμιας Τράπεζας έγινε μερικός ιδιοκτήτης.""";TRUE
"""Σχεδόν 100.000 άνθρωποι εγκατέλειψαν το Πουέρτο Ρίκο πέρυσι.""";TRUE
"""Οι γυναίκες και οι άνδρες κερδίζουν λιγότερα, αν προσαρμόσετε τον πληθωρισμό, από ό,τι όταν ο John Kitzhaber εξελέγη για πρώτη φορά κυβερνήτης.""";FALSE
"""Οι Ηνωμένες Πολιτείες έχουν τον υψηλότερο φορολογικό συντελεστή για τις επιχειρήσεις στον ελεύθερο κόσμο.""";TRUE
